PLL,invmoves,cross_color,TruncatedCaseURL
F,x'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',blue,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx
F,x2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',yellow,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx2
F,xB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',green,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx\'
F,z'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',orange,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sz
F,zB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',red,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sz\'
F,y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',white,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy
F,x'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',blue,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx
F,x2'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',yellow,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx2
F,xy'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',green,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx\'
F,z'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',orange,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syz
F,zy'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',red,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syz\'
F,y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',white,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2
F,x'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',blue,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x
F,x2'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',yellow,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x2
F,xy2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',green,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x\'
F,z'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',orange,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2z
F,zy2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',red,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2z\'
F,yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',white,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'
F,x'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',blue,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x
F,x2'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',yellow,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x2
F,xyB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',green,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x\'
F,z'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',orange,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'z
F,zyB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy',red,visualcube.php?size=175&case=yU\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'z\'
F,B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',white,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'S
F,x'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',blue,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx
F,x2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',yellow,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx2
F,xB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',green,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx\'
F,z'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',orange,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sz
F,zB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',red,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sz\'
F,y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',white,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy
F,x'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',blue,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx
F,x2'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',yellow,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx2
F,xy'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',green,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx\'
F,z'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',orange,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syz
F,zy'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',red,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syz\'
F,y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',white,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2
F,x'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',blue,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x
F,x2'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',yellow,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x2
F,xy2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',green,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x\'
F,z'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',orange,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2z
F,zy2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',red,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2z\'
F,yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',white,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'
F,x'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',blue,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x
F,x2'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',yellow,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x2
F,xyB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',green,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x\'
F,z'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',orange,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'z
F,zyB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry2',red,visualcube.php?size=175&case=y2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'z\'
F,B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',white,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'S
F,x'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',blue,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx
F,x2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',yellow,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx2
F,xB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',green,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx\'
F,z'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',orange,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sz
F,zB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',red,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sz\'
F,y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',white,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy
F,x'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',blue,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx
F,x2'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',yellow,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx2
F,xy'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',green,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx\'
F,z'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',orange,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syz
F,zy'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',red,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syz\'
F,y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',white,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2
F,x'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',blue,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x
F,x2'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',yellow,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x2
F,xy2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',green,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x\'
F,z'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',orange,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2z
F,zy2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',red,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2z\'
F,yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',white,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'
F,x'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',blue,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x
F,x2'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',yellow,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x2
F,xyB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',green,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x\'
F,z'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',orange,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'z
F,zyB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU'y2',red,visualcube.php?size=175&case=y2UR\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'z\'
F,B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',white,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'S
F,x'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',blue,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx
F,x2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',yellow,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx2
F,xB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',green,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx\'
F,z'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',orange,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sz
F,zB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',red,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sz\'
F,y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',white,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy
F,x'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',blue,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx
F,x2'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',yellow,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx2
F,xy'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',green,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx\'
F,z'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',orange,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syz
F,zy'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',red,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syz\'
F,y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',white,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2
F,x'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',blue,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x
F,x2'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',yellow,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x2
F,xy2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',green,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x\'
F,z'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',orange,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2z
F,zy2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',red,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2z\'
F,yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',white,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'
F,x'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',blue,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x
F,x2'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',yellow,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x2
F,xyB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',green,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x\'
F,z'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',orange,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'z
F,zyB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RU2'y2',red,visualcube.php?size=175&case=y2U2R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'z\'
F,B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',white,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'S
F,x'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',blue,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx
F,x2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',yellow,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx2
F,xB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',green,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx\'
F,z'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',orange,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sz
F,zB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',red,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sz\'
F,y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',white,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy
F,x'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',blue,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx
F,x2'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',yellow,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx2
F,xy'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',green,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx\'
F,z'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',orange,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syz
F,zy'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',red,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syz\'
F,y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',white,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2
F,x'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',blue,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x
F,x2'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',yellow,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x2
F,xy2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',green,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x\'
F,z'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',orange,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2z
F,zy2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',red,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2z\'
F,yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',white,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'
F,x'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',blue,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x
F,x2'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',yellow,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x2
F,xyB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',green,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x\'
F,z'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',orange,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'z
F,zyB'Fz'RU'R2'FRURU'R2'F'RFwR'F'RUy2',red,visualcube.php?size=175&case=y2U\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'z\'
F,B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,white,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'S
F,x'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,blue,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx
F,x2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,yellow,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx2
F,xB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,green,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sx\'
F,z'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,orange,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sz
F,zB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,red,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sz\'
F,y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,white,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy
F,x'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,blue,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx
F,x2'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,yellow,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx2
F,xy'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,green,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syx\'
F,z'y'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,orange,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syz
F,zy'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,red,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Syz\'
F,y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,white,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2
F,x'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,blue,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x
F,x2'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,yellow,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x2
F,xy2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,green,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2x\'
F,z'y2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,orange,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2z
F,zy2'B'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,red,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy2z\'
F,yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,white,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'
F,x'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,blue,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x
F,x2'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,yellow,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x2
F,xyB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,green,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'x\'
F,z'yB'Fz'RU'R2'FRURU'R2'F'RFwR'F'Ry,orange,visualcube.php?size=175&case=y\'R\'FRFw\'R\'FR2UR\'U\'R\'F\'R2UR\'Sy\'z
